Price,Rooms,Suburb,Postcode,Bathroom,Bedroom2,Car,Landsize,BuildingArea,YearBuilt,Type,zipcode,airbnb_price_mean,airbnb_record_count,airbnb_weekly_price_mean,airbnb_monthly_price_mean
1480000.0,2,Abbotsford,3067.0,1.0,2.0,1.0,202.0,,,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1035000.0,2,Abbotsford,3067.0,1.0,2.0,0.0,156.0,79.0,1900.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1465000.0,3,Abbotsford,3067.0,2.0,3.0,0.0,134.0,150.0,1900.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
850000.0,3,Abbotsford,3067.0,2.0,3.0,1.0,94.0,,,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1600000.0,4,Abbotsford,3067.0,1.0,3.0,2.0,120.0,142.0,2014.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
941000.0,2,Abbotsford,3067.0,1.0,2.0,0.0,181.0,,,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1876000.0,3,Abbotsford,3067.0,2.0,4.0,0.0,245.0,210.0,1910.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1636000.0,2,Abbotsford,3067.0,1.0,2.0,2.0,256.0,107.0,1890.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
300000.0,1,Abbotsford,3067.0,1.0,1.0,1.0,0.0,,,u,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1097000.0,2,Abbotsford,3067.0,1.0,3.0,2.0,220.0,75.0,1900.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
700000.0,2,Abbotsford,3067.0,2.0,2.0,1.0,0.0,,,u,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1350000.0,3,Abbotsford,3067.0,2.0,3.0,2.0,214.0,190.0,2005.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
750000.0,2,Abbotsford,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,u,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1172500.0,2,Abbotsford,3067.0,1.0,2.0,1.0,195.0,,,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
441000.0,1,Abbotsford,3067.0,1.0,1.0,1.0,0.0,,,u,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1310000.0,2,Abbotsford,3067.0,1.0,2.0,2.0,238.0,97.0,1890.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1200000.0,3,Abbotsford,3067.0,2.0,3.0,1.0,113.0,110.0,1880.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
1176500.0,3,Abbotsford,3067.0,1.0,2.0,1.0,138.0,105.0,1890.0,h,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
